"","nm_y_apellidos","partido_alias","cluster"
"María Candelaria_Acevedo_Sáez","María Candelaria_Acevedo_Sáez","PC","left"
"Eric_Aedo_Jeldres","Eric_Aedo_Jeldres","DC","left"
"Jaime_Araya_Guerrero","Jaime_Araya_Guerrero","IND","left"
"Jorge_Alessandri_Vergara","Jorge_Alessandri_Vergara","UDI","right"
"René_Alinco_Bustos","René_Alinco_Bustos","IND","left"
"Mónica_Arce_Castro","Mónica_Arce_Castro","IND","left"
"Cristián_Araya_Lerdo de Tejada","Cristián_Araya_Lerdo de Tejada","PREP","right"
"Bernardo_Berger_Fett","Bernardo_Berger_Fett","IND","right"
"Carlos_Bianchi_Chelech","Carlos_Bianchi_Chelech","IND","left"
"Danisa_Astudillo_Peiretti","Danisa_Astudillo_Peiretti","PS","left"
"Chiara_Barchiesi_Chávez","Chiara_Barchiesi_Chávez","PREP","right"
"Boris_Barrera_Moreno","Boris_Barrera_Moreno","PC","left"
"Héctor_Barría_Angulo","Héctor_Barría_Angulo","DC","left"
"Miguel Ángel_Becker_Alvear","Miguel Ángel_Becker_Alvear","RN","right"
"María Francisca_Bello_Campos","María Francisca_Bello_Campos","PCS","left"
"Juan Carlos_Beltrán_Silva","Juan Carlos_Beltrán_Silva","RN","right"
"Gustavo_Benavente_Vergara","Gustavo_Benavente_Vergara","UDI","right"
"Mercedes_Bulnes_Núñez","Mercedes_Bulnes_Núñez","IND","left"
"Alejandro_Bernales_Maldonado","Alejandro_Bernales_Maldonado","LIBERAL","left"
"Felipe_Camaño_Cárdenas","Felipe_Camaño_Cárdenas","IND","left"
"Sergio_Bobadilla_Muñoz","Sergio_Bobadilla_Muñoz","UDI","right"
"Fernando_Bórquez_Montecinos","Fernando_Bórquez_Montecinos","UDI","right"
"Ana María_Bravo_Castro","Ana María_Bravo_Castro","PS","left"
"Marta_Bravo_Salinas","Marta_Bravo_Salinas","UDI","right"
"Jorge_Brito_Hasbún","Jorge_Brito_Hasbún","RD","left"
"Félix_Bugueño_Sotelo","Félix_Bugueño_Sotelo","FRVS","left"
"María Luisa_Cordero_Velásquez","María Luisa_Cordero_Velásquez","IND","right"
"Miguel Ángel_Calisto_Águila","Miguel Ángel_Calisto_Águila","DC","left"
"Lorena_Fries_Monleón","Lorena_Fries_Monleón","IND","left"
"Karol_Cariola_Oliva","Karol_Cariola_Oliva","PC","left"
"Álvaro_Carter_Fernández","Álvaro_Carter_Fernández","UDI","right"
"Nathalie_Castillo_Rojas","Nathalie_Castillo_Rojas","PC","left"
"José Miguel_Castro_Bascuñán","José Miguel_Castro_Bascuñán","RN","right"
"Andrés_Celis_Montt","Andrés_Celis_Montt","RN","right"
"Daniella_Cicardini_Milla","Daniella_Cicardini_Milla","PS","left"
"Sofía_Cid_Versalovic","Sofía_Cid_Versalovic","RN","right"
"Ricardo_Cifuentes_Lillo","Ricardo_Cifuentes_Lillo","DC","left"
"Juan Antonio_Coloma_Álamos","Juan Antonio_Coloma_Álamos","UDI","right"
"Andrés_Giordano_Salazar","Andrés_Giordano_Salazar","IND","left"
"Marta_González_Olea","Marta_González_Olea","IND","left"
"Eduardo_Cornejo_Lagos","Eduardo_Cornejo_Lagos","UDI","right"
"Luis Alberto_Cuello_Peña y Lillo","Luis Alberto_Cuello_Peña y Lillo","PC","left"
"Gonzalo_De la Carrera_Correa","Gonzalo_De la Carrera_Correa","PREP","right"
"Tomás_De Rementería_Venegas","Tomás_De Rementería_Venegas","PS","left"
"Catalina_Del Real_Mihovilovic","Catalina_Del Real_Mihovilovic","RN","right"
"Viviana_Delgado_Riquelme","Viviana_Delgado_Riquelme","PEV","left"
"Felipe_Donoso_Castro","Felipe_Donoso_Castro","UDI","right"
"Jorge_Durán_Espinoza","Jorge_Durán_Espinoza","RN","right"
"Eduardo_Durán_Salinas","Eduardo_Durán_Salinas","RN","right"
"Camila_Flores_Oporto","Camila_Flores_Oporto","RN","right"
"Tomás_Hirsch_Goldschmidt","Tomás_Hirsch_Goldschmidt","IND","left"
"Juan_Fuenzalida_Cobo","Juan_Fuenzalida_Cobo","UDI","right"
"Ana María_Gazmuri_Vieira","Ana María_Gazmuri_Vieira","IND","left"
"Andrés_Jouannet_Valderrama","Andrés_Jouannet_Valderrama","IND","right"
"Félix_González_Gatica","Félix_González_Gatica","PEV","left"
"Harry_Jürgensen_Rundshagen","Harry_Jürgensen_Rundshagen","IND","right"
"Mauro_González_Villarroel","Mauro_González_Villarroel","RN","right"
"Jorge_Guzmán_Zepeda","Jorge_Guzmán_Zepeda","EVOP","right"
"Carmen_Hertz_Cádiz","Carmen_Hertz_Cádiz","PC","left"
"Paula_Labra_Besserer","Paula_Labra_Besserer","IND","right"
"Diego_Ibáñez_Cotroneo","Diego_Ibáñez_Cotroneo","PCS","left"
"Marcos_Ilabaca_Cerda","Marcos_Ilabaca_Cerda","PS","left"
"Juan_Irarrázaval_Rossel","Juan_Irarrázaval_Rossel","PREP","right"
"Pamela_Jiles_Moreno","Pamela_Jiles_Moreno","PH","left"
"Tomás_Lagomarsino_Guzmán","Tomás_Lagomarsino_Guzmán","IND","left"
"Christian_Matheson_Villán","Christian_Matheson_Villán","IND","right"
"Johannes_Kaiser_Barents-Von Hohenhagen","Johannes_Kaiser_Barents-Von Hohenhagen","PREP","right"
"Cristian_Labbé_Martínez","Cristian_Labbé_Martínez","UDI","right"
"Javiera_Morales_Alvarado","Javiera_Morales_Alvarado","IND","left"
"Camila_Musante_Müller","Camila_Musante_Müller","IND","left"
"Joaquín_Lavín_León","Joaquín_Lavín_León","UDI","right"
"Henry_Leal_Bizama","Henry_Leal_Bizama","UDI","right"
"Mauricio_Ojeda_Rebolledo","Mauricio_Ojeda_Rebolledo","IND","right"
"Raúl_Leiva_Carvajal","Raúl_Leiva_Carvajal","PS","left"
"Daniel_Lilayu_Vivanco","Daniel_Lilayu_Vivanco","UDI","right"
"Andrés_Longton_Herrera","Andrés_Longton_Herrera","RN","right"
"Luis_Malla_Valenzuela","Luis_Malla_Valenzuela","LIBERAL","left"
"Daniel_Manouchehri_Lobos","Daniel_Manouchehri_Lobos","PS","left"
"Cristóbal_Martínez_Ramírez","Cristóbal_Martínez_Ramírez","UDI","right"
"Carolina_Marzán_Pinto","Carolina_Marzán_Pinto","PPD","left"
"Erika_Olivera_De La Fuente","Erika_Olivera_De La Fuente","IND","right"
"Hernán_Palma_Pérez","Hernán_Palma_Pérez","IND","left"
"Marlene_Pérez_Cartes","Marlene_Pérez_Cartes","IND","right"
"Miguel_Mellado_Suazo","Miguel_Mellado_Suazo","RN","right"
"Daniel_Melo_Contreras","Daniel_Melo_Contreras","PS","left"
"José Carlos_Meza_Pereira","José Carlos_Meza_Pereira","PREP","right"
"Vlado_Mirosevic_Verdugo","Vlado_Mirosevic_Verdugo","LIBERAL","left"
"Claudia_Mix_Jiménez","Claudia_Mix_Jiménez","COMUNES","left"
"Helia_Molina_Milman","Helia_Molina_Milman","PPD","left"
"Francisco_Pulgar_Castillo","Francisco_Pulgar_Castillo","IND","left"
"Carla_Morales_Maldonado","Carla_Morales_Maldonado","RN","right"
"Cristhian_Moreira_Barros","Cristhian_Moreira_Barros","UDI","right"
"Benjamín_Moreno_Bascur","Benjamín_Moreno_Bascur","PREP","right"
"Jaime_Mulet_Martínez","Jaime_Mulet_Martínez","FRVS","left"
"Francesca_Muñoz_González","Francesca_Muñoz_González","RN","right"
"Marcela_Riquelme_Aliaga","Marcela_Riquelme_Aliaga","IND","right"
"Jaime_Naranjo_Ortiz","Jaime_Naranjo_Ortiz","PS","left"
"Gloria_Naveillan_Arriagada","Gloria_Naveillan_Arriagada","PREP","right"
"Emilia_Nuyado_Ancapichún","Emilia_Nuyado_Ancapichún","PS","left"
"Coca Ericka_Ñanco_Vásquez","Coca Ericka_Ñanco_Vásquez","RD","left"
"Natalia_Romero_Talguia","Natalia_Romero_Talguia","IND","right"
"Patricio_Rosas_Barrientos","Patricio_Rosas_Barrientos","IND","left"
"Maite_Orsini_Pascal","Maite_Orsini_Pascal","RD","left"
"Ximena_Ossandón_Irarrázabal","Ximena_Ossandón_Irarrázabal","RN","right"
"Clara_Sagardía_Cabezas","Clara_Sagardía_Cabezas","IND","left"
"Stephan_Schubert_Rubio","Stephan_Schubert_Rubio","IND","right"
"Cristián_Tapia_Ramos","Cristián_Tapia_Ramos","IND","left"
"Joanna_Pérez_Olea","Joanna_Pérez_Olea","DC","left"
"Catalina_Pérez_Salinas","Catalina_Pérez_Salinas","RD","left"
"Hotuiti_Teao_Drago","Hotuiti_Teao_Drago","IND","right"
"Lorena_Pizarro_Sierra","Lorena_Pizarro_Sierra","PC","left"
"Alejandra_Placencia_Cabello","Alejandra_Placencia_Cabello","PC","left"
"Héctor_Ulloa_Aguilera","Héctor_Ulloa_Aguilera","IND","left"
"Guillermo_Ramírez_Diez","Guillermo_Ramírez_Diez","UDI","right"
"Matías_Ramírez_Pascal","Matías_Ramírez_Pascal","PC","left"
"Marcia_Raphael_Mora","Marcia_Raphael_Mora","RN","right"
"Jorge_Rathgeb_Schifferli","Jorge_Rathgeb_Schifferli","RN","right"
"Hugo_Rey_Martínez","Hugo_Rey_Martínez","RN","right"
"Sebastián_Videla_Castillo","Sebastián_Videla_Castillo","IND","left"
"Roberto_Celedón_Fernández","Roberto_Celedón_Fernández","IND","left"
"Camila_Rojas_Valderrama","Camila_Rojas_Valderrama","COMUNES","left"
"Agustín_Romero_Leiva","Agustín_Romero_Leiva","PREP","right"
"Leonidas_Romero_Sáez","Leonidas_Romero_Sáez","RN","right"
"Sara_Concha_Smith","Sara_Concha_Smith","PCC","right"
"Yovana_Ahumada_Palma","Yovana_Ahumada_Palma","PDG","right"
"Jaime_Sáez_Quiroz","Jaime_Sáez_Quiroz","RD","left"
"Jorge_Saffirio_Espinoza","Jorge_Saffirio_Espinoza","DC","left"
"Roberto_Arroyo_Muñoz","Roberto_Arroyo_Muñoz","PDG","right"
"Luis_Sánchez_Ossa","Luis_Sánchez_Ossa","PREP","right"
"Juan_Santana_Castillo","Juan_Santana_Castillo","PS","left"
"Marisela_Santibáñez_Novoa","Marisela_Santibáñez_Novoa","PC","left"
"Frank_Sauerbaum_Muñoz","Frank_Sauerbaum_Muñoz","RN","right"
"Diego_Schalper_Sepúlveda","Diego_Schalper_Sepúlveda","RN","right"
"Emilia_Schneider_Videla","Emilia_Schneider_Videla","COMUNES","left"
"Karen_Medina_Vásquez","Karen_Medina_Vásquez","PDG","right"
"Rubén Darío_Oyarzo_Figueroa","Rubén Darío_Oyarzo_Figueroa","PDG","right"
"Daniela_Serrano_Salazar","Daniela_Serrano_Salazar","PC","left"
"Leonardo_Soto_Ferrada","Leonardo_Soto_Ferrada","PS","left"
"Raúl_Soto_Mardones","Raúl_Soto_Mardones","PPD","left"
"Marco Antonio_Sulantay_Olivares","Marco Antonio_Sulantay_Olivares","UDI","right"
"Víctor Alejandro_Pino_Fuentes","Víctor Alejandro_Pino_Fuentes","PDG","right"
"Gaspar_Rivas_Sánchez","Gaspar_Rivas_Sánchez","PDG","right"
"Carolina_Tello_Rojas","Carolina_Tello_Rojas","PC","left"
"Renzo_Trisotti_Martínez","Renzo_Trisotti_Martínez","UDI","right"
"Cosme_Mellado_Pino","Cosme_Mellado_Pino","PR","left"
"Francisco_Undurraga_Gazitúa","Francisco_Undurraga_Gazitúa","EVOP","right"
"Alberto_Undurraga_Vicuña","Alberto_Undurraga_Vicuña","DC","left"
"Cristóbal_Urruticoechea_Ríos","Cristóbal_Urruticoechea_Ríos","PREP","right"
"Consuelo_Veloso_Ávila","Consuelo_Veloso_Ávila","RD","left"
"Nelson_Venegas_Salazar","Nelson_Venegas_Salazar","PS","left"
"Alexis_Sepúlveda_Soto","Alexis_Sepúlveda_Soto","PR","left"
"Gastón_Von Mühlenbrock_Zamora","Gastón_Von Mühlenbrock_Zamora","UDI","right"
"Flor_Weisse_Novoa","Flor_Weisse_Novoa","UDI","right"
"Gonzalo_Winter_Etcheberry","Gonzalo_Winter_Etcheberry","PCS","left"
"Gael_Yeomans_Araya","Gael_Yeomans_Araya","PCS","left"
"Enrique_Lee_Flores","Enrique_Lee_Flores","PRI","right"
