"","cluster"
"María Candelaria_Acevedo_Sáez","left"
"Eric_Aedo_Jeldres","left"
"Jaime_Araya_Guerrero","left"
"Jorge_Alessandri_Vergara","right"
"René_Alinco_Bustos","left"
"Mónica_Arce_Castro","left"
"Cristián_Araya_Lerdo de Tejada","right"
"Bernardo_Berger_Fett","right"
"Carlos_Bianchi_Chelech","left"
"Danisa_Astudillo_Peiretti","left"
"Chiara_Barchiesi_Chávez","right"
"Boris_Barrera_Moreno","left"
"Héctor_Barría_Angulo","left"
"Miguel Ángel_Becker_Alvear","right"
"María Francisca_Bello_Campos","left"
"Juan Carlos_Beltrán_Silva","right"
"Gustavo_Benavente_Vergara","right"
"Mercedes_Bulnes_Núñez","left"
"Alejandro_Bernales_Maldonado","left"
"Felipe_Camaño_Cárdenas","left"
"Sergio_Bobadilla_Muñoz","right"
"Fernando_Bórquez_Montecinos","right"
"Ana María_Bravo_Castro","left"
"Marta_Bravo_Salinas","right"
"Jorge_Brito_Hasbún","left"
"Félix_Bugueño_Sotelo","left"
"María Luisa_Cordero_Velásquez","right"
"Miguel Ángel_Calisto_Águila","left"
"Lorena_Fries_Monleón","left"
"Karol_Cariola_Oliva","left"
"Álvaro_Carter_Fernández","right"
"Nathalie_Castillo_Rojas","left"
"José Miguel_Castro_Bascuñán","right"
"Andrés_Celis_Montt","right"
"Daniella_Cicardini_Milla","left"
"Sofía_Cid_Versalovic","right"
"Ricardo_Cifuentes_Lillo","left"
"Juan Antonio_Coloma_Álamos","right"
"Andrés_Giordano_Salazar","left"
"Marta_González_Olea","left"
"Eduardo_Cornejo_Lagos","right"
"Luis Alberto_Cuello_Peña y Lillo","left"
"Gonzalo_De la Carrera_Correa","right"
"Tomás_De Rementería_Venegas","left"
"Catalina_Del Real_Mihovilovic","right"
"Viviana_Delgado_Riquelme","left"
"Felipe_Donoso_Castro","right"
"Jorge_Durán_Espinoza","right"
"Eduardo_Durán_Salinas","right"
"Camila_Flores_Oporto","right"
"Tomás_Hirsch_Goldschmidt","left"
"Juan_Fuenzalida_Cobo","right"
"Ana María_Gazmuri_Vieira","left"
"Andrés_Jouannet_Valderrama","right"
"Félix_González_Gatica","left"
"Harry_Jürgensen_Rundshagen","right"
"Mauro_González_Villarroel","right"
"Jorge_Guzmán_Zepeda","right"
"Carmen_Hertz_Cádiz","left"
"Paula_Labra_Besserer","right"
"Diego_Ibáñez_Cotroneo","left"
"Marcos_Ilabaca_Cerda","left"
"Juan_Irarrázaval_Rossel","right"
"Pamela_Jiles_Moreno","left"
"Tomás_Lagomarsino_Guzmán","left"
"Christian_Matheson_Villán","right"
"Johannes_Kaiser_Barents-Von Hohenhagen","right"
"Cristian_Labbé_Martínez","right"
"Javiera_Morales_Alvarado","left"
"Camila_Musante_Müller","left"
"Joaquín_Lavín_León","right"
"Henry_Leal_Bizama","right"
"Mauricio_Ojeda_Rebolledo","right"
"Raúl_Leiva_Carvajal","left"
"Daniel_Lilayu_Vivanco","right"
"Andrés_Longton_Herrera","right"
"Luis_Malla_Valenzuela","left"
"Daniel_Manouchehri_Lobos","left"
"Cristóbal_Martínez_Ramírez","right"
"Carolina_Marzán_Pinto","left"
"Erika_Olivera_De La Fuente","right"
"Hernán_Palma_Pérez","left"
"Marlene_Pérez_Cartes","right"
"Miguel_Mellado_Suazo","right"
"Daniel_Melo_Contreras","left"
"José Carlos_Meza_Pereira","right"
"Vlado_Mirosevic_Verdugo","left"
"Claudia_Mix_Jiménez","left"
"Helia_Molina_Milman","left"
"Francisco_Pulgar_Castillo","left"
"Carla_Morales_Maldonado","right"
"Cristhian_Moreira_Barros","right"
"Benjamín_Moreno_Bascur","right"
"Jaime_Mulet_Martínez","left"
"Francesca_Muñoz_González","right"
"Marcela_Riquelme_Aliaga","right"
"Jaime_Naranjo_Ortiz","left"
"Gloria_Naveillan_Arriagada","right"
"Emilia_Nuyado_Ancapichún","left"
"Coca Ericka_Ñanco_Vásquez","left"
"Natalia_Romero_Talguia","right"
"Patricio_Rosas_Barrientos","left"
"Maite_Orsini_Pascal","left"
"Ximena_Ossandón_Irarrázabal","right"
"Clara_Sagardía_Cabezas","left"
"Stephan_Schubert_Rubio","right"
"Cristián_Tapia_Ramos","left"
"Joanna_Pérez_Olea","left"
"Catalina_Pérez_Salinas","left"
"Hotuiti_Teao_Drago","right"
"Lorena_Pizarro_Sierra","left"
"Alejandra_Placencia_Cabello","left"
"Héctor_Ulloa_Aguilera","left"
"Guillermo_Ramírez_Diez","right"
"Matías_Ramírez_Pascal","left"
"Marcia_Raphael_Mora","right"
"Jorge_Rathgeb_Schifferli","right"
"Hugo_Rey_Martínez","right"
"Sebastián_Videla_Castillo","left"
"Roberto_Celedón_Fernández","left"
"Camila_Rojas_Valderrama","left"
"Agustín_Romero_Leiva","right"
"Leonidas_Romero_Sáez","right"
"Sara_Concha_Smith","right"
"Yovana_Ahumada_Palma","right"
"Jaime_Sáez_Quiroz","left"
"Jorge_Saffirio_Espinoza","left"
"Roberto_Arroyo_Muñoz","right"
"Luis_Sánchez_Ossa","right"
"Juan_Santana_Castillo","left"
"Marisela_Santibáñez_Novoa","left"
"Frank_Sauerbaum_Muñoz","right"
"Diego_Schalper_Sepúlveda","right"
"Emilia_Schneider_Videla","left"
"Karen_Medina_Vásquez","right"
"Rubén Darío_Oyarzo_Figueroa","right"
"Daniela_Serrano_Salazar","left"
"Leonardo_Soto_Ferrada","left"
"Raúl_Soto_Mardones","left"
"Marco Antonio_Sulantay_Olivares","right"
"Víctor Alejandro_Pino_Fuentes","right"
"Gaspar_Rivas_Sánchez","right"
"Carolina_Tello_Rojas","left"
"Renzo_Trisotti_Martínez","right"
"Cosme_Mellado_Pino","left"
"Francisco_Undurraga_Gazitúa","right"
"Alberto_Undurraga_Vicuña","left"
"Cristóbal_Urruticoechea_Ríos","right"
"Consuelo_Veloso_Ávila","left"
"Nelson_Venegas_Salazar","left"
"Alexis_Sepúlveda_Soto","left"
"Gastón_Von Mühlenbrock_Zamora","right"
"Flor_Weisse_Novoa","right"
"Gonzalo_Winter_Etcheberry","left"
"Gael_Yeomans_Araya","left"
"Enrique_Lee_Flores","right"
